2024-07-19 09:58:30.325 [info] Log level: Info
2024-07-19 09:58:30.325 [info] Validating found git in: "git"
2024-07-19 09:58:30.325 [info] Using git "2.34.1" from "git"
2024-07-19 09:58:30.325 [info] > git rev-parse --show-toplevel [606ms]
2024-07-19 09:58:30.335 [info] > git rev-parse --show-toplevel [12ms]
2024-07-19 09:58:30.356 [info] > git rev-parse --show-toplevel [5ms]
2024-07-19 11:32:37.645 [info] > git rev-parse --show-toplevel [12ms]
2024-07-19 11:32:48.856 [info] > git rev-parse --show-toplevel [6ms]
2024-07-19 11:39:10.746 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 11:39:12.719 [info] > git rev-parse --show-toplevel [1ms]
2024-07-19 11:39:33.817 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 11:41:17.823 [info] > git rev-parse --show-toplevel [5ms]
2024-07-19 11:48:06.485 [info] > git rev-parse --show-toplevel [13ms]
2024-07-19 12:01:20.915 [info] > git rev-parse --show-toplevel [4ms]
2024-07-19 12:02:14.240 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 12:04:25.048 [info] > git rev-parse --show-toplevel [4ms]
2024-07-19 12:04:41.778 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 12:07:25.697 [info] > git rev-parse --show-toplevel [7ms]
2024-07-19 12:10:08.063 [info] > git rev-parse --show-toplevel [15ms]
2024-07-19 12:12:40.313 [info] > git rev-parse --show-toplevel [13ms]
2024-07-19 12:21:32.444 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 12:21:37.496 [info] > git rev-parse --show-toplevel [7ms]
2024-07-19 12:23:18.681 [info] > git rev-parse --show-toplevel [6ms]
2024-07-19 12:25:18.081 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 12:27:45.536 [info] > git rev-parse --show-toplevel [9ms]
2024-07-19 12:27:48.172 [info] > git rev-parse --show-toplevel [10ms]
2024-07-19 12:28:36.926 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 14:33:59.759 [info] > git rev-parse --show-toplevel [245ms]
2024-07-19 14:35:09.305 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 14:35:22.312 [info] > git rev-parse --show-toplevel [30ms]
2024-07-19 14:35:44.439 [info] > git rev-parse --show-toplevel [6ms]
2024-07-19 14:37:19.291 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 14:37:53.839 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 14:38:50.842 [info] > git rev-parse --show-toplevel [8ms]
2024-07-19 14:39:33.714 [info] > git rev-parse --show-toplevel [12ms]
2024-07-19 14:39:42.178 [info] > git rev-parse --show-toplevel [5ms]
2024-07-19 14:39:55.356 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 14:39:57.182 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 14:39:59.525 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 14:40:12.700 [info] > git rev-parse --show-toplevel [6ms]
2024-07-19 14:40:18.004 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 14:40:34.638 [info] > git rev-parse --show-toplevel [8ms]
2024-07-19 14:40:38.473 [info] > git rev-parse --show-toplevel [9ms]
2024-07-19 14:40:42.951 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 14:41:35.453 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 14:41:37.833 [info] > git rev-parse --show-toplevel [4ms]
2024-07-19 14:41:39.459 [info] > git rev-parse --show-toplevel [6ms]
2024-07-19 14:41:44.730 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 14:41:50.483 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 14:42:11.105 [info] > git rev-parse --show-toplevel [1ms]
2024-07-19 14:43:13.974 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 14:43:35.082 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 14:43:40.699 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 14:43:43.704 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 14:43:52.624 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 14:44:08.865 [info] > git rev-parse --show-toplevel [4ms]
2024-07-19 14:44:14.671 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 14:44:19.733 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 14:45:12.593 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 14:45:35.268 [info] > git rev-parse --show-toplevel [4ms]
2024-07-19 14:45:38.445 [info] > git rev-parse --show-toplevel [4ms]
2024-07-19 14:45:42.364 [info] > git rev-parse --show-toplevel [10ms]
2024-07-19 14:58:40.139 [info] > git rev-parse --show-toplevel [5ms]
2024-07-19 14:58:44.183 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 14:58:46.688 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 14:58:56.691 [info] > git rev-parse --show-toplevel [4ms]
2024-07-19 14:59:12.186 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 14:59:14.413 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 14:59:21.633 [info] > git rev-parse --show-toplevel [4ms]
2024-07-19 14:59:24.446 [info] > git rev-parse --show-toplevel [4ms]
2024-07-19 14:59:27.407 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 14:59:43.456 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 14:59:49.449 [info] > git rev-parse --show-toplevel [5ms]
2024-07-19 14:59:52.526 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 14:59:56.845 [info] > git rev-parse --show-toplevel [10ms]
2024-07-19 15:00:00.177 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 15:00:04.046 [info] > git rev-parse --show-toplevel [12ms]
2024-07-19 15:00:08.712 [info] > git rev-parse --show-toplevel [10ms]
2024-07-19 15:00:25.120 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 15:00:28.477 [info] > git rev-parse --show-toplevel [10ms]
2024-07-19 15:00:32.136 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 15:00:34.370 [info] > git rev-parse --show-toplevel [6ms]
2024-07-19 15:00:36.876 [info] > git rev-parse --show-toplevel [11ms]
2024-07-19 15:00:37.901 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 15:00:43.973 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 15:00:47.534 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 15:00:50.109 [info] > git rev-parse --show-toplevel [5ms]
2024-07-19 15:00:52.559 [info] > git rev-parse --show-toplevel [4ms]
2024-07-19 15:00:56.026 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 15:01:22.881 [info] > git rev-parse --show-toplevel [11ms]
2024-07-19 15:01:25.323 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 15:01:39.385 [info] > git rev-parse --show-toplevel [12ms]
2024-07-19 15:01:45.771 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 15:01:48.753 [info] > git rev-parse --show-toplevel [4ms]
2024-07-19 15:01:51.214 [info] > git rev-parse --show-toplevel [9ms]
2024-07-19 15:02:08.117 [info] > git rev-parse --show-toplevel [15ms]
2024-07-19 15:02:16.716 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 15:02:18.619 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 15:02:19.703 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 15:02:27.562 [info] > git rev-parse --show-toplevel [7ms]
2024-07-19 15:02:55.165 [info] > git rev-parse --show-toplevel [9ms]
2024-07-19 15:03:08.580 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 15:03:27.101 [info] > git rev-parse --show-toplevel [2ms]
2024-07-19 15:03:31.266 [info] > git rev-parse --show-toplevel [11ms]
2024-07-19 15:03:35.045 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 15:03:38.032 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 15:03:40.826 [info] > git rev-parse --show-toplevel [10ms]
2024-07-19 15:03:43.085 [info] > git rev-parse --show-toplevel [11ms]
2024-07-19 15:03:46.887 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 15:03:50.344 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 15:03:52.538 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 15:03:55.345 [info] > git rev-parse --show-toplevel [3ms]
2024-07-19 15:03:58.442 [info] > git rev-parse --show-toplevel [9ms]
2024-07-19 15:04:55.111 [info] > git rev-parse --show-toplevel [4ms]
2024-07-19 15:04:58.695 [info] > git rev-parse --show-toplevel [11ms]
2024-07-19 15:05:01.451 [info] > git rev-parse --show-toplevel [3ms]
